city,fans,lights,fridges,ac_1ton,ac_15ton,tvs,washing_machine,water_pump,computers,hours_use,roof_area,total_watts,daily_kwh,kw_needed,panels_needed,system_cost_pkr,monthly_saving_pkr,monthly_bill_pkr,payback_years
Lahore,2,9,2,1,2,1,0,1,1,12,1927,7135,85.62,21.4,54,3210000,128430,166959,2.1
Gujranwala,9,8,2,1,1,1,1,0,0,12,1429,5195,62.34,15.6,39,2340000,93510,121563,2.1
Quetta,7,14,3,2,2,1,1,0,3,15,1336,9385,140.78,27.1,68,4065000,211162,274511,1.6
Karachi,4,12,1,1,2,2,1,0,1,7,1469,7030,49.21,11.2,28,1680000,73815,95959,1.9
Gujranwala,4,16,3,3,0,3,0,1,1,15,777,6740,101.1,25.3,64,3795000,151650,197145,2.1
Sukkur,8,6,2,2,0,4,1,0,0,7,930,4890,34.23,6.9,18,1035000,51344,66748,1.7
Peshawar,4,15,1,2,1,3,0,1,3,15,1014,7325,109.88,26.4,66,3960000,164812,214256,2.0
Abbottabad,6,16,3,3,2,1,2,1,0,12,1976,11490,137.88,38.3,96,5745000,206819,268866,2.3
Gujranwala,5,16,1,3,2,4,2,1,2,15,414,11815,177.22,44.3,111,6645000,265837,345588,2.1
Hyderabad,3,13,1,3,2,2,0,0,0,12,808,9270,111.24,25.7,65,3855000,166860,216918,1.9
Karachi,2,7,3,2,1,1,1,1,0,12,1475,7055,84.66,19.2,48,2880000,126989,165087,1.9
Sialkot,9,12,1,2,0,1,0,0,1,10,356,4305,43.05,11.0,28,1650000,64575,83947,2.1
Sialkot,9,9,3,2,1,4,0,1,0,6,681,7410,44.46,11.3,29,1695000,66690,86697,2.1
Swat,1,11,2,3,2,2,0,1,2,7,1480,10390,72.73,19.8,50,2970000,109095,141823,2.3
Sukkur,3,10,1,3,0,4,2,1,1,14,1251,7375,103.25,20.8,52,3120000,154875,201337,1.7
Gujranwala,8,14,2,0,0,2,0,0,2,13,1456,1710,22.23,5.6,14,840000,33345,43348,2.1
Gujranwala,6,5,2,1,1,1,2,0,0,13,1486,5425,70.52,17.6,44,2640000,105787,137523,2.1
Swat,5,6,1,0,0,3,0,1,2,15,574,2065,30.98,8.4,21,1260000,46462,60401,2.3
Bahawalpur,5,4,3,3,0,1,2,0,2,6,1400,6885,41.31,8.5,22,1275000,61965,80554,1.7
Bahawalpur,6,19,1,2,2,3,0,0,0,11,343,8185,90.04,18.4,46,2760000,135052,175568,1.7
Swat,7,12,2,3,2,3,0,1,0,14,1017,10555,147.77,40.2,101,6030000,221654,288151,2.3
Bahawalpur,1,16,2,1,0,2,1,1,1,13,1873,3765,48.94,10.0,25,1500000,73417,95442,1.7
Islamabad,9,10,3,0,0,4,1,0,1,8,617,2375,19.0,4.9,13,735000,28500,37050,2.1
Gujranwala,3,4,1,0,1,2,0,1,3,9,833,3985,35.86,9.0,23,1350000,53797,69936,2.1
Rawalpindi,4,6,2,2,1,1,0,1,1,8,1908,6740,53.92,14.0,35,2100000,80880,105144,2.2
Multan,1,7,2,0,0,4,0,0,0,11,1477,880,9.68,2.0,5,300000,14519,18876,1.7
Hyderabad,3,7,2,0,2,3,0,0,2,14,536,5330,74.62,17.3,44,2595000,111930,145509,1.9
Islamabad,2,8,3,3,0,3,1,1,2,13,1192,7170,93.21,24.3,61,3645000,139815,181759,2.2
Quetta,2,17,2,0,0,1,2,0,1,15,816,2005,30.08,5.8,15,870000,45112,58646,1.6
Islamabad,1,6,2,0,2,4,0,0,1,9,1544,5065,45.58,11.9,30,1785000,68377,88890,2.2
Rawalpindi,8,6,1,0,2,1,1,1,0,7,1633,6190,43.33,11.3,29,1695000,64995,84493,2.2
Quetta,3,4,1,2,1,1,0,1,2,13,1921,6685,86.9,16.7,42,2505000,130357,169464,1.6
Hyderabad,3,10,2,2,1,2,0,1,3,13,1500,7225,93.92,21.7,55,3255000,140887,183153,1.9
Rawalpindi,6,14,2,3,1,1,2,1,3,17,1543,9910,168.47,43.9,110,6585000,252705,328516,2.2
Lahore,8,13,1,0,1,4,0,0,1,16,337,3545,56.72,14.2,36,2130000,85080,110604,2.1
Multan,9,17,3,2,2,1,0,0,3,11,953,9080,99.88,20.8,52,3120000,149819,194765,1.7
Hyderabad,9,4,3,2,0,4,2,1,0,13,1754,6335,82.36,19.1,48,2865000,123532,160592,1.9
Gujranwala,4,5,3,3,1,3,2,1,3,14,1046,9975,139.65,34.9,88,5235000,209475,272317,2.1
Bahawalpur,5,16,3,1,1,1,2,1,1,6,1526,6615,39.69,8.1,21,1215000,59534,77395,1.7
Lahore,2,7,3,0,2,4,2,1,0,14,1140,6855,95.97,24.0,60,3600000,143955,187141,2.1
Sukkur,9,16,3,2,2,3,1,0,2,7,747,9565,66.96,13.5,34,2025000,100432,130562,1.7
Hyderabad,8,7,3,3,0,4,1,0,0,6,1818,6555,39.33,9.1,23,1365000,58994,76693,1.9
Sukkur,3,8,3,3,0,3,1,1,1,13,983,7045,91.58,18.5,47,2775000,137377,178590,1.7
Quetta,9,14,1,3,2,2,0,1,1,13,424,10685,138.9,26.7,67,4005000,208357,270864,1.6
Lahore,3,5,3,2,1,1,2,0,3,16,1388,7450,119.2,29.8,75,4470000,178800,232440,2.1
Multan,9,7,3,0,1,1,2,0,3,9,1092,4930,44.37,9.2,23,1380000,66555,86521,1.7
Gujranwala,2,4,3,1,1,3,1,0,2,13,1083,5360,69.68,17.4,44,2610000,104520,135876,2.1
Swat,9,5,2,0,0,2,0,0,2,12,1567,1650,19.8,5.4,14,810000,29699,38609,2.3
Gujranwala,8,4,1,3,1,4,0,1,1,7,1850,8660,60.62,15.2,38,2280000,90930,118209,2.1
Rawalpindi,9,13,1,3,1,2,0,0,1,10,525,7920,79.2,20.6,52,3090000,118800,154440,2.2
Gujranwala,5,13,1,1,2,4,1,0,1,15,764,7320,109.8,27.4,69,4110000,164700,214110,2.1
Abbottabad,2,16,3,0,1,4,0,0,2,9,942,3640,32.76,9.1,23,1365000,49140,63882,2.3
Faisalabad,8,7,3,3,2,1,0,1,1,8,592,10705,85.64,21.0,53,3150000,128459,166998,2.0
Swat,6,7,2,3,1,3,0,1,2,6,1020,8805,52.83,14.4,36,2160000,79245,103018,2.3
Islamabad,8,10,1,0,0,1,2,0,1,10,1704,2200,22.0,5.7,15,855000,33000,42900,2.2
Bahawalpur,5,13,3,3,1,1,1,0,0,15,1948,8120,121.8,25.0,63,3750000,182699,237509,1.7
Karachi,2,14,1,0,1,1,2,1,0,13,1055,4360,56.68,12.9,33,1935000,85020,110526,1.9
Multan,6,14,2,3,2,4,2,1,1,17,465,11810,200.77,41.8,105,6270000,301155,391501,1.7
Lahore,5,12,2,0,2,1,1,0,0,14,1068,5455,76.37,19.1,48,2865000,114555,148921,2.1
Faisalabad,5,12,2,1,2,4,2,1,2,12,1541,8905,106.86,26.2,66,3930000,160290,208377,2.0
Multan,1,8,1,3,1,3,0,0,3,17,1306,7745,131.66,27.4,69,4110000,197497,256746,1.7
Lahore,2,13,3,1,1,4,0,1,0,16,1170,5445,87.12,21.8,55,3270000,130680,169884,2.1
Bahawalpur,8,4,3,3,0,4,0,0,3,6,1598,6610,39.66,8.1,21,1215000,59490,77337,1.7
Peshawar,3,4,2,3,1,2,0,0,0,6,1375,7285,43.71,10.5,27,1575000,65565,85234,2.0
Peshawar,3,9,3,2,0,1,1,1,2,6,1697,5560,33.36,8.0,20,1200000,50040,65052,2.0
Sukkur,8,5,2,0,2,1,2,0,0,7,1993,6075,42.52,8.6,22,1290000,63787,82923,1.7
Multan,8,11,1,1,2,1,2,1,0,6,1686,8265,49.59,10.3,26,1545000,74385,96700,1.7
Peshawar,2,16,2,1,2,1,0,1,1,9,866,7240,65.16,15.7,40,2355000,97740,127062,2.0
Abbottabad,8,12,1,1,0,2,0,1,3,15,1337,3980,59.7,16.6,42,2490000,89550,116415,2.3
Swat,1,16,2,0,1,2,2,0,3,14,1663,4415,61.81,16.8,42,2520000,92715,120529,2.3
Lahore,6,7,3,2,2,2,1,0,2,17,901,9105,154.78,38.7,97,5805000,232177,301830,2.1
Sukkur,8,8,3,1,1,2,2,0,2,9,1862,6270,56.43,11.4,29,1710000,84645,110038,1.7
Gujranwala,3,19,2,0,1,1,0,1,3,9,1412,4260,38.34,9.6,24,1440000,57509,74763,2.1
Lahore,8,14,3,3,2,4,0,0,1,12,1204,10360,124.32,31.1,78,4665000,186480,242424,2.1
Sukkur,1,11,3,1,0,3,1,0,1,16,340,3190,51.04,10.3,26,1545000,76560,99528,1.7
Bahawalpur,9,6,3,1,1,2,2,0,3,14,1627,6515,91.21,18.7,47,2805000,136815,177859,1.7
Multan,9,8,1,2,2,4,1,0,0,12,1591,8845,106.14,22.1,56,3315000,159210,206973,1.7
Bahawalpur,5,6,3,1,1,2,1,1,3,6,1461,6465,38.79,7.9,20,1185000,58185,75640,1.7
Swat,4,15,1,1,1,1,0,0,0,6,1329,4275,25.65,7.0,18,1050000,38475,50017,2.3
Swat,6,13,2,3,1,1,2,1,3,9,541,9895,89.06,24.2,61,3630000,133582,173657,2.3
Faisalabad,7,6,3,0,1,4,0,1,0,9,461,4215,37.94,9.3,24,1395000,56902,73973,2.0
Bahawalpur,5,6,3,0,1,4,2,1,1,6,1318,5265,31.59,6.5,17,975000,47385,61600,1.7
Rawalpindi,9,16,3,2,0,4,0,1,3,11,991,6115,67.26,17.5,44,2625000,100897,131166,2.2
Gujranwala,3,15,2,3,0,1,0,0,2,15,1108,5750,86.25,21.6,54,3240000,129375,168187,2.1
Hyderabad,7,10,1,0,2,1,2,0,0,7,1278,5925,41.48,9.6,24,1440000,62212,80876,1.9
Bahawalpur,5,18,1,3,0,3,2,0,1,16,817,6795,108.72,22.3,56,3345000,163080,212004,1.7
Faisalabad,7,10,3,0,0,4,0,1,2,10,1197,2675,26.75,6.6,17,990000,40125,52162,2.1
Quetta,2,10,2,3,0,3,2,0,1,13,1082,6600,85.8,16.5,42,2475000,128700,167310,1.6
Abbottabad,4,13,2,2,1,2,0,1,0,8,1724,6745,53.96,15.0,38,2250000,80940,105222,2.3
Lahore,2,11,2,1,1,3,2,0,3,14,1083,6015,84.21,21.1,53,3165000,126314,164209,2.1
Swat,7,8,2,2,2,2,0,0,1,12,1479,8345,100.14,27.2,68,4080000,150210,195273,2.3
Quetta,2,8,2,0,2,2,0,0,3,14,384,5370,75.18,14.5,37,2175000,112770,146601,1.6
Faisalabad,1,17,1,2,2,3,0,1,3,6,1333,9130,54.78,13.4,34,2010000,82170,106821,2.0
Sukkur,9,7,1,1,1,4,1,0,1,10,437,5530,55.3,11.1,28,1665000,82950,107835,1.7
Hyderabad,1,10,1,2,0,2,2,1,1,17,1053,5525,93.93,21.7,55,3255000,140887,183153,1.9
Gujranwala,8,13,3,0,0,4,0,1,1,8,1205,2595,20.76,5.2,13,780000,31140,40482,2.1
Gujranwala,2,7,2,0,1,1,1,1,3,9,1012,4505,40.54,10.1,26,1515000,60817,79062,2.1
Gujranwala,8,18,3,2,2,2,0,0,2,9,455,8920,80.28,20.1,51,3015000,120420,156546,2.1
Abbottabad,3,5,2,1,2,1,1,0,0,16,707,6700,107.2,29.8,75,4470000,160800,209040,2.3
Hyderabad,6,7,1,2,2,3,0,1,2,17,1086,9155,155.64,36.0,90,5400000,233452,303488,1.9
Abbottabad,3,16,3,1,1,4,0,1,3,12,1548,6165,73.98,20.6,52,3090000,110970,144261,2.3
Swat,7,16,1,3,2,3,1,1,1,15,879,11165,167.48,45.5,114,6825000,251212,326576,2.3
Abbottabad,9,11,2,1,2,2,1,1,1,16,1507,8290,132.64,36.8,92,5520000,198960,258648,2.3
Karachi,2,12,2,3,1,1,2,1,0,13,1518,8980,116.74,26.5,67,3975000,175110,227643,1.9
Hyderabad,5,19,2,2,0,2,2,0,0,16,853,5160,82.56,19.1,48,2865000,123840,160992,1.9
Rawalpindi,6,6,1,1,1,3,1,0,2,15,695,5390,80.85,21.1,53,3165000,121275,157657,2.2
Hyderabad,4,19,2,3,1,4,2,0,2,10,1986,9185,91.85,21.3,54,3195000,137775,179107,1.9
Faisalabad,4,10,1,3,1,4,1,1,0,17,1919,8750,148.75,36.5,92,5475000,223125,290062,2.0
Karachi,4,17,3,3,1,2,2,1,3,15,1457,10055,150.82,34.3,86,5145000,226237,294108,1.9
Gujranwala,2,15,2,0,0,2,0,0,2,12,1632,1275,15.3,3.8,10,570000,22949,29834,2.1
Faisalabad,4,17,2,2,2,1,2,0,1,8,1109,9155,73.24,18.0,45,2700000,109859,142818,2.0
Faisalabad,1,12,2,3,1,3,0,1,1,8,1261,8305,66.44,16.3,41,2445000,99659,129557,2.0
Swat,6,14,3,1,0,2,0,1,3,8,841,4160,33.28,9.0,23,1350000,49920,64896,2.3
Sialkot,1,7,2,3,2,1,2,1,0,17,1332,10830,184.11,47.0,118,7050000,276165,359014,2.1
Islamabad,6,13,1,0,2,2,1,0,2,9,1286,5895,53.05,13.8,35,2070000,79582,103457,2.2
Karachi,1,18,1,2,2,4,0,1,1,11,469,8845,97.3,22.1,56,3315000,145942,189725,1.9
Faisalabad,6,6,2,0,1,1,0,1,0,10,589,3690,36.9,9.0,23,1350000,55350,71955,2.0
Islamabad,8,8,2,0,1,1,2,1,2,13,1491,5270,68.51,17.8,45,2670000,102764,133594,2.2
Islamabad,2,4,3,0,2,2,1,0,3,17,1667,5960,101.32,26.4,66,3960000,151980,197574,2.2
Karachi,2,6,3,1,2,3,1,1,1,10,1820,7940,79.4,18.0,45,2700000,119100,154830,1.9
Sialkot,4,18,3,2,2,4,2,0,3,16,1468,10020,160.32,40.9,103,6135000,240479,312624,2.1
Quetta,3,11,2,2,2,3,1,1,3,17,1736,9840,167.28,32.2,81,4830000,250919,326196,1.6
Sukkur,4,14,3,1,2,1,2,1,3,10,1039,8910,89.1,18.0,45,2700000,133650,173745,1.7
Rawalpindi,7,11,3,2,2,3,2,0,2,15,887,9840,147.6,38.4,96,5760000,221400,287820,2.2
Sukkur,1,18,1,0,0,1,2,1,3,7,1034,2945,20.62,4.2,11,630000,30922,40199,1.7
Hyderabad,6,16,3,2,2,3,0,0,2,17,756,8840,150.28,34.8,87,5220000,225419,293046,1.9
Gujranwala,3,7,1,1,1,2,0,1,2,16,1000,5330,85.28,21.3,54,3195000,127920,166296,2.1
Rawalpindi,7,5,1,0,1,3,0,0,3,16,1278,3650,58.4,15.2,38,2280000,87600,113880,2.2
Hyderabad,2,16,3,1,1,1,2,1,3,10,1625,6790,67.9,15.7,40,2355000,101850,132405,1.9
Faisalabad,2,11,1,3,2,4,0,0,0,17,345,9365,159.21,39.0,98,5850000,238807,310449,2.0
Gujranwala,4,11,2,0,1,4,0,0,1,12,1340,3365,40.38,10.1,26,1515000,60570,78741,2.1
Lahore,1,13,2,0,0,4,0,1,0,7,1901,1720,12.04,3.0,8,450000,18060,23478,2.1
Karachi,3,7,3,2,2,1,2,0,1,11,1683,9080,99.88,22.7,57,3405000,149819,194765,1.9
Rawalpindi,9,6,2,0,1,3,2,1,1,12,1584,5315,63.78,16.6,42,2490000,95670,124371,2.2
Rawalpindi,7,5,1,1,0,4,2,0,0,10,1446,3650,36.5,9.5,24,1425000,54750,71175,2.2
Bahawalpur,7,12,2,2,0,4,0,1,0,14,530,5155,72.17,14.8,37,2220000,108255,140731,1.7
Faisalabad,4,4,3,3,1,4,1,1,1,9,1249,9160,82.44,20.2,51,3030000,123659,160758,2.0
Quetta,2,10,3,1,0,2,0,1,1,15,936,3400,51.0,9.8,25,1470000,76500,99450,1.6
Islamabad,4,8,1,3,1,1,0,1,1,6,411,8120,48.72,12.7,32,1905000,73080,95004,2.2
Gujranwala,6,11,3,3,0,1,2,0,2,13,892,7065,91.84,23.0,58,3450000,137767,179097,2.1
Faisalabad,3,7,2,3,2,1,2,1,1,13,1569,11180,145.34,35.6,89,5340000,218010,283413,2.0
Peshawar,1,10,3,0,2,1,0,1,3,12,1158,6125,73.5,17.7,45,2655000,110250,143325,2.0
Sialkot,8,16,1,1,2,1,0,1,3,13,690,7940,103.22,26.3,66,3945000,154830,201279,2.1
Islamabad,5,8,3,1,2,2,1,1,3,7,691,8495,59.46,15.5,39,2325000,89197,115956,2.2
Karachi,5,18,2,0,2,3,1,1,0,8,627,6495,51.96,11.8,30,1770000,77940,101322,1.9
Islamabad,4,17,1,2,1,2,2,0,0,14,1538,6905,96.67,25.2,63,3780000,145005,188506,2.2
Quetta,6,8,2,3,2,4,1,1,0,6,1046,11020,66.12,12.7,32,1905000,99180,128934,1.6
Swat,3,17,1,1,2,2,1,0,1,13,666,7030,91.39,24.8,62,3720000,137085,178210,2.3
Bahawalpur,9,12,3,0,2,1,2,0,3,13,381,7005,91.06,18.7,47,2805000,136597,177576,1.7
Islamabad,5,12,1,3,2,2,1,1,1,12,1105,10855,130.26,33.9,85,5085000,195390,254007,2.2
Karachi,3,16,1,2,0,1,0,1,2,16,1121,4865,77.84,17.7,45,2655000,116760,151788,1.9
Quetta,1,12,3,2,2,2,1,0,2,10,1399,8805,88.05,16.9,43,2535000,132075,171697,1.6
Sukkur,6,15,2,3,2,1,2,0,0,9,1850,10575,95.18,19.2,48,2880000,142762,185591,1.7
Rawalpindi,2,9,3,2,1,4,0,0,2,15,1826,6535,98.02,25.5,64,3825000,147037,191148,2.2
Swat,3,9,1,1,0,1,1,1,3,15,1251,3960,59.4,16.1,41,2415000,89100,115830,2.3
Bahawalpur,1,8,3,1,1,2,0,0,2,15,1802,4745,71.18,14.6,37,2190000,106762,138791,1.7
Rawalpindi,9,12,1,1,2,4,0,0,0,15,671,6905,103.58,27.0,68,4050000,155362,201971,2.2
Sialkot,8,13,3,2,1,2,1,1,1,11,1588,7895,86.84,22.2,56,3330000,130267,169347,2.1
Hyderabad,2,11,3,1,1,4,1,0,2,17,563,5565,94.6,21.9,55,3285000,141907,184479,1.9
Swat,8,10,2,0,2,3,2,1,3,16,409,7700,123.2,33.5,84,5025000,184800,240240,2.3
Swat,9,10,1,1,0,3,2,0,3,6,606,4375,26.25,7.1,18,1065000,39375,51187,2.3
Sukkur,1,9,2,1,0,3,0,1,3,10,1523,3660,36.6,7.4,19,1110000,54900,71370,1.7
Sukkur,5,8,1,2,1,2,2,0,1,9,525,7045,63.4,12.8,32,1920000,95107,123639,1.7
Gujranwala,8,16,3,1,2,2,0,1,3,9,484,8340,75.06,18.8,47,2820000,112590,146367,2.1
Abbottabad,2,7,1,3,1,4,0,1,0,12,1263,8055,96.66,26.8,67,4020000,144990,188487,2.3
Islamabad,4,6,2,0,1,4,2,0,0,14,330,4090,57.26,14.9,38,2235000,85890,111657,2.2
Swat,7,19,2,2,1,4,2,1,3,13,913,8860,115.18,31.3,79,4695000,172769,224600,2.3
Rawalpindi,3,6,2,0,2,4,2,0,2,16,398,6415,102.64,26.7,67,4005000,153960,200148,2.2
Karachi,5,9,1,3,2,1,1,1,3,17,1662,11110,188.87,42.9,108,6435000,283305,368296,1.9
Multan,8,18,2,2,0,3,0,1,0,13,1110,5220,67.86,14.1,36,2115000,101790,132327,1.7
Abbottabad,3,7,2,2,2,1,0,1,0,10,1589,8480,84.8,23.6,59,3540000,127200,165360,2.3
Multan,4,15,2,1,1,1,0,1,0,11,951,5175,56.92,11.9,30,1785000,85387,111003,1.7
Bahawalpur,9,15,3,0,1,1,2,1,2,7,1113,5600,39.2,8.0,20,1200000,58799,76439,1.7
Quetta,7,9,3,3,0,1,2,1,2,16,1673,7860,125.76,24.2,61,3630000,188640,245232,1.6
Rawalpindi,1,6,1,3,2,3,2,1,2,8,1319,11265,90.12,23.5,59,3525000,135180,175734,2.2
Rawalpindi,4,18,1,2,1,1,2,0,0,10,1277,6820,68.2,17.8,45,2670000,102300,132990,2.2
Abbottabad,4,7,2,1,0,4,2,0,1,7,1867,3805,26.64,7.4,19,1110000,39952,51938,2.3
Swat,9,18,3,2,0,2,1,1,3,8,1780,6445,51.56,14.0,35,2100000,77340,100542,2.3
Sialkot,6,12,2,2,1,4,2,1,3,9,387,8680,78.12,19.9,50,2985000,117180,152334,2.1
Abbottabad,9,8,2,2,1,2,0,1,0,11,1386,7045,77.5,21.5,54,3225000,116242,151115,2.3
Multan,6,16,3,2,2,4,2,0,2,10,1221,9940,99.4,20.7,52,3105000,149099,193829,1.7
Abbottabad,6,10,3,3,0,4,0,1,1,15,1710,6900,103.5,28.8,72,4320000,155250,201825,2.3
Rawalpindi,5,13,3,3,1,2,2,0,1,9,1782,8920,80.28,20.9,53,3135000,120420,156546,2.2
Sialkot,5,5,1,2,0,3,2,1,2,7,885,6050,42.35,10.8,27,1620000,63525,82582,2.1
Islamabad,2,17,1,2,2,1,0,1,3,17,1117,9005,153.08,39.9,100,5985000,229627,298515,2.2
Peshawar,8,17,2,1,1,4,0,1,3,16,1231,6405,102.48,24.6,62,3690000,153720,199836,2.0
Gujranwala,8,8,1,2,2,3,0,1,1,10,1959,9120,91.2,22.8,57,3420000,136799,177839,2.1
Lahore,1,12,3,3,0,1,0,1,1,10,1592,6255,62.55,15.6,39,2340000,93825,121972,2.1
Sukkur,8,19,3,0,2,3,1,0,2,16,1096,6535,104.56,21.1,53,3165000,156840,203892,1.7
Abbottabad,5,14,1,3,2,3,0,1,3,12,1318,10885,130.62,36.3,91,5445000,195930,254709,2.3
Bahawalpur,2,6,2,1,0,1,2,0,1,6,1312,3340,20.04,4.1,11,615000,30059,39078,1.7
Hyderabad,2,17,2,3,2,4,2,0,3,9,1272,11205,100.84,23.3,59,3495000,151267,196647,1.9
Quetta,6,12,1,0,0,3,1,1,1,16,932,2530,40.48,7.8,20,1170000,60719,78936,1.6
Peshawar,9,17,2,2,1,4,0,1,2,10,645,7780,77.8,18.7,47,2805000,116700,151710,2.0
Gujranwala,1,19,2,0,0,4,2,1,3,13,1023,3410,44.33,11.1,28,1665000,66495,86443,2.1
Gujranwala,6,14,2,2,0,4,1,0,1,17,1200,5060,86.02,21.5,54,3225000,129030,167739,2.1
Gujranwala,9,18,3,2,1,1,2,0,1,17,1983,7695,130.82,32.7,82,4905000,196222,255089,2.1
Gujranwala,8,9,3,3,0,2,1,0,1,13,1401,6585,85.6,21.4,54,3210000,128407,166929,2.1
Multan,6,7,1,3,1,4,1,1,1,6,1688,9055,54.33,11.3,29,1695000,81495,105943,1.7
Bahawalpur,3,10,3,3,1,2,0,0,2,10,1337,7925,79.25,16.2,41,2430000,118875,154537,1.7
Bahawalpur,8,19,2,1,0,2,1,0,3,15,435,3985,59.78,12.2,31,1830000,89662,116561,1.7
Sialkot,9,11,3,3,2,3,2,0,3,6,1627,11690,70.14,17.9,45,2685000,105209,136773,2.1
Sukkur,1,9,1,1,2,4,2,1,0,6,696,8010,48.06,9.7,25,1455000,72090,93717,1.7
Rawalpindi,9,8,3,3,1,4,0,0,3,7,1091,8745,61.22,15.9,40,2385000,91822,119369,2.2
Gujranwala,6,9,2,2,2,4,0,0,0,7,378,8285,58.0,14.5,37,2175000,86992,113090,2.1
Hyderabad,6,8,2,1,2,2,1,1,1,14,1004,8020,112.28,26.0,65,3900000,168420,218946,1.9
Rawalpindi,4,11,1,0,0,1,0,1,2,9,1281,1865,16.78,4.4,11,660000,25177,32730,2.2
Bahawalpur,1,4,3,1,1,2,2,1,2,8,1741,6435,51.48,10.5,27,1575000,77220,100386,1.7
Karachi,8,19,3,1,1,4,2,0,1,16,1565,6435,102.96,23.4,59,3510000,154440,200772,1.9
Karachi,2,14,3,0,0,4,0,0,0,6,1374,1210,7.26,1.6,4,240000,10890,14157,1.8
Hyderabad,1,10,2,1,2,4,0,0,1,17,1043,6625,112.62,26.1,66,3915000,168937,219618,1.9
Sialkot,2,18,1,2,1,2,0,1,2,7,683,6920,48.44,12.4,31,1860000,72659,94457,2.1
Bahawalpur,1,13,3,3,2,4,1,0,2,11,674,10520,115.72,23.7,60,3555000,173580,225654,1.7
Hyderabad,1,13,2,0,1,3,1,1,3,14,505,4720,66.08,15.3,39,2295000,99120,128856,1.9
Multan,9,19,2,3,1,4,2,1,0,10,788,9910,99.1,20.6,52,3090000,148650,193245,1.7
Abbottabad,1,14,2,2,1,1,1,0,3,9,1704,6785,61.06,17.0,43,2550000,91597,119076,2.3
Hyderabad,4,5,3,0,1,3,1,0,2,10,1180,4025,40.25,9.3,24,1395000,60375,78487,1.9
Islamabad,6,18,3,3,2,4,1,0,2,14,1634,10970,153.58,40.0,100,6000000,230370,299481,2.2
Rawalpindi,7,17,3,3,2,3,1,1,3,17,1698,11880,201.96,52.6,132,7890000,302940,393822,2.2
